target,index,model,tau,prediction,actual,pinball
eua_return,1026,L-ER,0.9,0.023130374029278755,-0.013172011822462082,0.0036302388180047274
eua_return,1026,L-ER,0.95,0.029754891991615295,-0.013172011822462082,0.002146345330402255
eua_return,1026,ERNN,0.05,-0.023631542921066284,-0.013172011822462082,0.0005229765665717423
eua_return,1026,ERNN,0.1,-0.01460680365562439,-0.013172011822462082,0.0001434791920473799
eua_return,1026,ERNN,0.5,0.0036497563123703003,-0.013172011822462082,0.008410884067416191
eua_return,1026,ERNN,0.9,0.022527165710926056,-0.013172011822462082,0.0035699177533388138
eua_return,1026,ERNN,0.95,0.020051077008247375,-0.013172011822462082,0.0016611544415354729
eua_return,1027,L-ER,0.05,-0.012914605438709259,-0.00534157594665885,0.00037865148624405265
eua_return,1027,L-ER,0.1,-0.006830000784248114,-0.00534157594665885,0.00014884248957969248
eua_return,1027,L-ER,0.5,0.007272831164300442,-0.00534157594665885,0.006307203322649002
eua_return,1027,L-ER,0.9,0.025114480406045914,-0.00534157594665885,0.003045605728402734
eua_return,1027,L-ER,0.95,0.034006621688604355,-0.00534157594665885,0.001967409858480096
eua_return,1027,ERNN,0.05,-0.01285657286643982,-0.00534157594665885,0.00037574986345134676
eua_return,1027,ERNN,0.1,-0.015919387340545654,-0.00534157594665885,0.0010577811626717448
eua_return,1027,ERNN,0.5,0.002284899353981018,-0.00534157594665885,0.003813237650319934
eua_return,1027,ERNN,0.9,0.03145839273929596,-0.00534157594665885,0.003679996822029352
eua_return,1027,ERNN,0.95,0.03163957595825195,-0.00534157594665885,0.0018490575021132827
eua_return,1028,L-ER,0.05,-0.04576313868165016,0.040012337267398834,0.004288773983716965
eua_return,1028,L-ER,0.1,-0.033780697733163834,0.040012337267398834,0.007379304151982069
eua_return,1028,L-ER,0.5,-0.006415139883756638,0.040012337267398834,0.023213738575577736
eua_return,1028,L-ER,0.9,0.015163291245698929,0.040012337267398834,0.022364141419529915
eua_return,1028,L-ER,0.95,0.021867722272872925,0.040012337267398834,0.017237383872270584
eua_return,1028,ERNN,0.05,-0.0446944534778595,0.040012337267398834,0.004235339816659689
eua_return,1028,ERNN,0.1,-0.03703020513057709,0.040012337267398834,0.007704254239797592
eua_return,1028,ERNN,0.5,-0.00331898033618927,0.040012337267398834,0.021665658801794052
eua_return,1028,ERNN,0.9,0.013404637575149536,0.040012337267398834,0.02394692972302437
eua_return,1028,ERNN,0.95,0.021720677614212036,0.040012337267398834,0.017377076670527458
eua_return,1029,L-ER,0.05,-0.025148291140794754,0.013741628266870975,0.0019444959471002221
eua_return,1029,L-ER,0.1,-0.020345594733953476,0.013741628266870975,0.003408722346648574
eua_return,1029,L-ER,0.5,-0.005581066943705082,0.013741628266870975,0.009661347605288029
eua_return,1029,L-ER,0.9,0.013085217215120792,0.013741628266870975,0.0005907699232921004
eua_return,1029,L-ER,0.95,0.022612102329730988,0.013741628266870975,0.0004435237206052989
eua_return,1029,ERNN,0.05,-0.02301350235939026,0.013741628266870975,0.001837756484746933
eua_return,1029,ERNN,0.1,-0.03205573558807373,0.013741628266870975,0.004579736385494471
eua_return,1029,ERNN,0.5,-0.006950885057449341,0.013741628266870975,0.01034625619649887
eua_return,1029,ERNN,0.9,0.01381056010723114,0.013741628266870975,6.893184036016464e-06
eua_return,1029,ERNN,0.95,0.019223392009735107,0.013741628266870975,0.00027408820460550487
eua_return,1030,L-ER,0.05,-0.044910792261362076,0.012330612167716026,0.002862070221453905
eua_return,1030,L-ER,0.1,-0.03538127988576889,0.012330612167716026,0.004771189298480749
eua_return,1030,L-ER,0.5,-0.002636612392961979,0.012330612167716026,0.007483612280339003
eua_return,1030,L-ER,0.9,0.019786665216088295,0.012330612167716026,0.0007456053281202912
eua_return,1030,L-ER,0.95,0.029630422592163086,0.012330612167716026,0.000864990521222353
