direction,target,tau,model,pred_mean,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,rmse,mae,elapsed_seconds
碳+股 -> 股材料,msci_materials_return,0.5,QRF,7.674977964204937e-05,0.0033324946492872118,3.939116410390964e-05,0.009321904049793273,0.0457294526340144,0.008875940975908936,0.0066649892985744235,0.4211251735687256
碳+股 -> 股材料,msci_materials_return,0.5,Q-GBM,-4.4717349572333285e-05,0.0033505490844940532,4.0729030795456574e-05,0.003954713588438574,0.01331896644788777,0.009025411990092927,0.0067010981689881064,1.3792970180511475
碳+股 -> 股材料,msci_materials_return,0.5,ERNN,0.00016683380817994475,0.0033394386991858482,3.9435064244190227e-05,0.007257580757141113,0.0446659498955706,0.008880885317921638,0.0066788773983716965,0.4231290817260742
碳+股 -> 股材料,msci_materials_return,0.75,L-ER,0.004543142858892679,0.0026859513018280268,3.3211648990910564e-05,-0.013650774955749512,0.007057565901357865,0.009976866655051708,0.007546798791736364,0.19109606742858887
碳+股 -> 股材料,msci_materials_return,0.75,QRNN,0.00656879460439086,0.002644206630066037,3.54033908841678e-05,0.002103269100189209,-0.0584698498256484,0.010973109863698483,0.008476135320961475,0.544990062713623
碳+股 -> 股材料,msci_materials_return,0.75,QRF,0.006215995063223405,0.00259935880351097,3.3701090705283584e-05,0.019028408256025142,-0.0075754758772048625,0.010735950117625816,0.008210039435536241,0.43538689613342285
碳+股 -> 股材料,msci_materials_return,0.75,Q-GBM,0.005369959432162954,0.002638543232292503,3.2969127914102733e-05,0.0042406031167425695,0.014308319044982198,0.010315837373050366,0.007865390477569085,1.362997055053711
碳+股 -> 股材料,msci_materials_return,0.75,ERNN,0.0048344796523451805,0.0026301282923668623,3.28144905424372e-05,0.0074163079261779785,0.018931576633493208,0.010085519403219223,0.007580820936709642,0.5610260963439941
碳+股 -> 股材料,msci_materials_return,0.9,L-ER,0.009420768357813358,0.0015568288508802652,2.206167371776032e-05,-0.0045806169509887695,-0.021690146532302057,0.012943542562425137,0.010495590977370739,0.1837596893310547
碳+股 -> 股材料,msci_materials_return,0.9,QRNN,0.012318512424826622,0.001526218606159091,2.5346957325798276e-05,0.015171408653259277,-0.17383372067075697,0.015032121911644936,0.012752565555274487,0.5389199256896973
碳+股 -> 股材料,msci_materials_return,0.9,QRF,0.01143943776744475,0.0014541597816973484,2.32411834617895e-05,0.06166906503218983,-0.07631399323724675,0.014473771141483313,0.011905188652394656,0.4296860694885254
碳+股 -> 股材料,msci_materials_return,0.9,Q-GBM,0.011192166063275718,0.0014655261843766498,2.2906509515679313e-05,0.05433462531825384,-0.06081502985775522,0.01421482636888934,0.011730104094418032,1.3904621601104736
碳+股 -> 股材料,msci_materials_return,0.9,ERNN,0.008791224099695683,0.0015073257964104414,2.0150340087161844e-05,0.027362465858459473,0.06682492998005796,0.012442226521670818,0.009892948903143406,0.32570505142211914
碳+股 -> 股材料,msci_materials_return,0.95,L-ER,0.012956841848790646,0.0009493646793998778,1.5366112884372207e-05,0.01727229356765747,-0.030018855233777897,0.015738453716039658,0.013385871425271034,0.19454503059387207
碳+股 -> 股材料,msci_materials_return,0.95,QRNN,0.01699417270720005,0.001038533402606845,2.180332720782389e-05,-0.07502996921539307,-0.46151719044902606,0.01916164718568325,0.017197806388139725,0.5802700519561768
碳+股 -> 股材料,msci_materials_return,0.95,QRF,0.015269364330135735,0.0008841127507110311,1.6580351694136335e-05,0.0848173510284641,-0.1114115196131773,0.01757533503571257,0.015336637132968902,0.459155797958374
碳+股 -> 股材料,msci_materials_return,0.95,Q-GBM,0.015855650095932018,0.0009265133554918897,1.772016712133322e-05,0.04092668462858051,-0.18781544755081225,0.018071861106303263,0.015949095531747275,1.4035158157348633
碳+股 -> 股材料,msci_materials_return,0.95,ERNN,0.012919268570840359,0.0009037939016707242,1.3952647797215205e-05,0.06444454193115234,0.06472831354870945,0.015740064904093742,0.013260914012789726,0.18222808837890625
